ID;projectName;startDate;endDate
c1a9d7b1-3f42-4c12-bd9f-001a7c5f1a01;Employee Management System;2025-10-01;2025-12-31
b2d4e6f2-8b7a-47f9-a3c1-002b8e9c7b92;Website Redesign;2025-09-15;2025-11-30
a3c8f9d3-6e29-4f6c-90d3-003c9a4d8c83;Mobile App Development;2025-11-01;2026-02-28
d4e2f9a7-7c82-4b19-9e54-10a7c3d4e8f1;E-Commerce Platform;2025-08-01;2025-12-15
e1f3b6c9-9d62-4a2c-8e71-11b7c5f9e6a4;Inventory Tracking System;2025-10-10;2026-01-30
f7a3b5c6-1d8e-4c7f-b2a9-12d8e9a6b4f2;Healthcare Portal;2025-09-20;2026-03-01
c8b7a6e5-5f1d-4e9f-8c3a-13e9f2a7b8c4;CRM Dashboard;2025-07-01;2025-11-20
a1e3b9c5-8f2d-4b9c-9a8d-14f9c3d7b5e6;Online Learning System;2025-10-05;2026-02-10
b5d7e9f1-9a4b-4c2e-8e6c-15c3d8e4b7f9;Finance Analytics Tool;2025-08-25;2025-12-25
f9e2d3c4-7b5a-4a8e-9f6c-16b9a3d2f8e1;IoT Monitoring App;2025-11-15;2026-04-10
e2b3a1c4-8d9f-4e6a-8b3f-1c2d9f7e5a4b;Smart City Dashboard;2025-09-01;2026-03-31
c3d4e5f6-9b8a-4f7d-9e6b-2a1c8d9f3e2b;Customer Feedback System;2025-08-10;2025-12-10
